S.no,Unique ID,Salary,Total work Experience,Total experience in current company,Cibil Score,His Spends,No.of other loans,Total EMI deductions,Value of Financial assets
1,201245,68000,3.5,1.3,767,15000,2,7000,1000000
2,422414,94807,2.1,1,803,27621.61,1,10914.1,57461
3,160694,47728,2.1,0.8,477,14274.91,1,5138.84,734343
4,505089,11047,6.4,3.9,605,3457.3,1,1101.44,1178823
5,984926,92867,8.6,7.2,502,20933.31,1,10297.97,206209
6,458684,12460,1.7,1.5,752,3400.21,2,2344.98,938143
7,199977,31826,7.8,2,718,10068.31,2,2022.58,1060534
8,998396,39432,5.5,4,366,11308.63,0,7642.85,629960
9,362216,76350,6.7,6.4,533,16435.49,2,11854.26,389111
10,847817,32241,5,1.3,790,8764.18,1,3407.65,499428
11,571441,70847,4.8,3.2,335,18777.57,2,13501.62,537875
12,483540,98428,8.9,8.3,509,30849.22,1,6683.14,82129
13,352298,21610,1.4,0.4,410,4677.51,0,2435.19,305955
14,828273,29216,3.1,2.4,481,8294.27,2,4794.86,856863
15,205474,24157,9.9,6.4,332,5663.31,2,3711.08,562654
16,134687,47504,6.8,2.9,598,11073.52,2,6539.29,784553
17,322804,20431,7.4,3.2,623,5855.85,0,2960.46,911306
18,792807,88649,1.7,0.8,704,20162.2,0,9561.46,697733
19,652079,59828,8,0.9,447,19561.42,2,5886.42,748239
20,292720,87928,9.7,8.3,500,26530.1,0,7222.99,1141373
